2022-05-18 23:05:731 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 23:05:221 INFO  LoginPage :32 - Sending text to Username field : [[ChromeDriver: chrome on WINDOWS (b441c1dce36f89429cf3e61727afb71b)] -> xpath: //input[@id='user-name']]
2022-05-18 23:05:425 INFO  LoginPage :37 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (b441c1dce36f89429cf3e61727afb71b)] -> xpath: //input[@id='password']]
2022-05-18 23:05:577 INFO  LoginPage :41 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (b441c1dce36f89429cf3e61727afb71b)] -> xpath: //input[@id='login-button']]
2022-05-18 23:05:683 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 23:05:190 INFO  LoginPage :32 - Sending text to Username field : [[ChromeDriver: chrome on WINDOWS (ea62449db7068bf806ccbf67283321ef)] -> xpath: //input[@id='user-name']]
2022-05-18 23:05:379 INFO  LoginPage :37 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (ea62449db7068bf806ccbf67283321ef)] -> xpath: //input[@id='password']]
2022-05-18 23:05:523 INFO  LoginPage :41 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (ea62449db7068bf806ccbf67283321ef)] -> xpath: //input[@id='login-button']]
2022-05-19 00:05:387 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 00:05:888 INFO  LoginPage :32 - Sending text to Username field : [[ChromeDriver: chrome on WINDOWS (d1acf3af3a162119e66269ab5da8ca37)] -> xpath: //input[@id='user-name']]
2022-05-19 00:05:169 INFO  LoginPage :37 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (d1acf3af3a162119e66269ab5da8ca37)] -> xpath: //input[@id='password']]
2022-05-19 00:05:323 INFO  LoginPage :41 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (d1acf3af3a162119e66269ab5da8ca37)] -> xpath: //input[@id='login-button']]
2022-05-19 00:05:640 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 00:05:337 INFO  LoginPage :32 - Sending text to Username field : [[ChromeDriver: chrome on WINDOWS (bbc1a7f37e12d13307b64131dbb2ddf2)] -> xpath: //input[@id='user-name']]
2022-05-19 00:05:430 INFO  LoginPage :37 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (bbc1a7f37e12d13307b64131dbb2ddf2)] -> xpath: //input[@id='password']]
2022-05-19 00:05:499 INFO  LoginPage :41 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (bbc1a7f37e12d13307b64131dbb2ddf2)] -> xpath: //input[@id='login-button']]
2022-05-19 16:05:809 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 16:05:833 INFO  LoginPage :32 - Sending text to Username field : [[ChromeDriver: chrome on WINDOWS (577619997f62a1462b9345a09db0adc8)] -> xpath: //input[@id='user-name']]
2022-05-19 16:05:903 INFO  LoginPage :37 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (577619997f62a1462b9345a09db0adc8)] -> xpath: //input[@id='password']]
2022-05-19 16:05:967 INFO  LoginPage :41 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (577619997f62a1462b9345a09db0adc8)] -> xpath: //input[@id='login-button']]
2022-05-19 16:05:242 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 16:05:124 INFO  LoginPage :32 - Sending text to Username field : [[ChromeDriver: chrome on WINDOWS (39594de5669c45f1d44dcff54aff08ad)] -> xpath: //input[@id='user-name']]
2022-05-19 16:05:192 INFO  LoginPage :37 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (39594de5669c45f1d44dcff54aff08ad)] -> xpath: //input[@id='password']]
2022-05-19 16:05:258 INFO  LoginPage :41 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (39594de5669c45f1d44dcff54aff08ad)] -> xpath: //input[@id='login-button']]
2022-05-19 16:05:758 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 16:05:718 INFO  LoginPage :32 - Sending text to Username field : [[ChromeDriver: chrome on WINDOWS (70d7ae942609bfbfd2956344642d6763)] -> xpath: //input[@id='user-name']]
2022-05-19 16:05:801 INFO  LoginPage :37 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (70d7ae942609bfbfd2956344642d6763)] -> xpath: //input[@id='password']]
2022-05-19 16:05:922 INFO  LoginPage :41 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (70d7ae942609bfbfd2956344642d6763)] -> xpath: //input[@id='login-button']]
2022-05-19 16:05:408 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 16:05:441 INFO  LoginPage :32 - Sending text to Username field : [[ChromeDriver: chrome on WINDOWS (ec489cd0750b00f6e61134a9c153734b)] -> xpath: //input[@id='user-name']]
2022-05-19 16:05:516 INFO  LoginPage :37 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (ec489cd0750b00f6e61134a9c153734b)] -> xpath: //input[@id='password']]
2022-05-19 16:05:645 INFO  LoginPage :41 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (ec489cd0750b00f6e61134a9c153734b)] -> xpath: //input[@id='login-button']]
2022-05-19 17:05:425 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 17:05:401 INFO  LoginPage :32 - Sending text to Username field : [[ChromeDriver: chrome on WINDOWS (a10594f3eec52e57b89186839c77d365)] -> xpath: //input[@id='user-name']]
2022-05-19 17:05:474 INFO  LoginPage :37 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (a10594f3eec52e57b89186839c77d365)] -> xpath: //input[@id='password']]
